,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
993,Accident,1982-04-27,"NEW CASTLE, PA",United States,NEW CASTLE MUNICIPAL,Fatal,Substantial,Piper,601P,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,4.0,IMC,Approach,4.0,Piper 601P
999,Accident,1982-04-28,"HAKALAU, HI",United States,Unknown,Fatal,Destroyed,Beech,E18S,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Climb,2.0,Beech E18S
1001,Accident,1982-04-28,"MADISON, CT",United States,GRISWOLD,Fatal,Substantial,Mooney,M20J,No,1.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Mooney M20J
1019,Accident,1982-04-29,"TERMINAL ISLAND, CA",United States,Unknown,Fatal,Substantial,Beech,V35B,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Cruise,2.0,Beech V35B
1020,Accident,1982-04-29,"NEW STUYAHOK, AK",United States,NEW STUYAHOK,Fatal,Substantial,Cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,2.0,4.0,IMC,Takeoff,6.0,Cessna 207
1022,Incident,1982-04-30,"ENTERPRISE, AL",United States,ENTERPRISE MUNICIPAL,Incident,Minor,Piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,7.0,VMC,Takeoff,7.0,Piper PA-31-350
1044,Accident,1982-05-01,"ERIE, CO",United States,ERIE AIRPARK,Fatal,Substantial,Piper,PA-23,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Piper PA-23
1066,Accident,1982-05-02,"MIDLAND, TX",United States,MIDLAND AIRPARK,Fatal,Substantial,Piper,PA-31-350,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,IMC,Takeoff,1.0,Piper PA-31-350
1067,Accident,1982-05-02,"CHICAGO, IL",United States,O'HARE FIELD,Fatal,Substantial,Beech,56TC,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,5.0,VMC,Landing,5.0,Beech 56TC
1076,Accident,1982-05-03,"LUBBOCK, TX",United States,PRIVATE,Fatal,Substantial,Piper,PA-25-235,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Landing,1.0,Piper PA-25-235
