,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
67652,Accident,2010-01-19,"Sioux City, IA",United States,Sioux Gateway Airport/Col. Bud,Non-Fatal,Substantial,Beech,B200,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,4.0,IMC,Unknown,4.0,Beech B200
67718,Accident,2010-02-12,"Forest City, IA",United States,Forest City Municipal Airport,Fatal,Substantial,Piper,PA-31T,No,2.0,Turbo Prop,Business,1.0,0.0,0.0,0.0,VMC,Unknown,1.0,Piper PA-31T
67720,Accident,2010-02-13,"Eagle, CO",United States,Unknown,Non-Fatal,Substantial,Cessna,680,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 680
67731,Accident,2010-02-17,"Amarillo, TX",United States,Tradewind Airport,Fatal,Substantial,Piper,PA-30,No,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,Piper PA-30
67779,Incident,2010-03-01,"Stuttgart, Germany",Germany,Unknown,Non-Fatal,Substantial,Cessna,525,No,1.1114300626304803,Turbo Fan,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 525
67780,Accident,2010-03-01,"Gaithersburg, MD",United States,Montgomery Country Airpark,Non-Fatal,Substantial,Socata,TBM 700,No,1.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Socata TBM 700
67781,Accident,2010-03-01,"Greensboro, NC",United States,Piedmont Triad International,Non-Fatal,Substantial,Piaggio,P180,No,2.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piaggio P180
67784,Accident,2010-03-02,"DeKalb, IL",United States,De Kalb Taylor Municipal Airpo,Non-Fatal,Substantial,Beech,65-A90,No,2.0,Turbo Prop,Flight Test,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Beech 65-A90
67803,Accident,2010-03-06,"Miami, FL",United States,Kendall-Tamiami Executive Airp,Non-Fatal,Substantial,Cessna,P210N,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna P210N
67823,Accident,2010-03-10,"Tegucigalpa, Honduras",Honduras,Toncontin International Airpor,Fatal,Destroyed,Cessna,421,No,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC,Unknown,3.0,Cessna 421
67859,Accident,2010-03-18,"Artesia, NM",United States,Artesia Municipal Airport,Non-Fatal,Substantial,Cessna,421B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Cessna 421B
67869,Accident,2010-03-20,"Morton, WA",United States,Strom Field Airport,Fatal,Substantial,Cirrus Design Corp,SR22,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Unknown,2.0,Cirrus Design Corp SR22
67896,Accident,2010-03-25,"Terry, MT",United States,Terry Airport,Non-Fatal,Substantial,Piper,PA-22-150,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-22-150
67924,Accident,2010-04-01,"Wichita Falls, TX",United States,Kickapoo Downtown Airport,Non-Fatal,Substantial,Cessna,182F,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Cessna 182F
68004,Accident,2010-04-16,"Parkersburg, WV",United States,Mid-Ohio Valley Regional,Non-Fatal,Substantial,Piper,PA 46-350P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA 46-350P
68032,Accident,2010-04-23,"Madera, CA",United States,Unknown,Non-Fatal,Substantial,Grumman Acft Eng Cor-Schweizer,G-164A,No,1.0,Turbo Prop,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Grumman Acft Eng Cor-Schweizer G-164A
68040,Accident,2010-04-24,"Clemson, SC",United States,Oconee County Regional,Non-Fatal,Substantial,Piper,PA 46-350P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA 46-350P
68066,Accident,2010-04-30,"El Paso, TX",United States,El Paso,Non-Fatal,Substantial,Beech,A36TC,No,1.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,Beech A36TC
68090,Accident,2010-05-06,"Port Moller, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA-18-150,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-18-150
68091,Accident,2010-05-06,"Cape Yakataga, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA-18-150,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,Piper PA-18-150
68098,Accident,2010-05-08,"Eek, AK",United States,Unknown,Non-Fatal,Substantial,Piper,PA-31-350,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,Piper PA-31-350
